2023/03/31 10:57:45 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","time":1680231465166604100}
2023/03/31 11:03:13 {"callers":["d:/codes/codes_Go/threads-service/main.go:101 main.steupLogger"],"level":"info","time":1680231793121158100}
2023/03/31 11:03:54 {"callers":["d:/codes/codes_Go/threads-service/pkg/logger/logger.go:91 threads-service/pkg/logger.(*Logger).WithCaller"],"level":"info","time":1680231834405006200}
2023/03/31 11:04:43 {"callers":["C:/Program Files/Go/src/runtime/proc.go:6506 runtime.doInit"],"level":"info","time":1680231883149567000}
2023/03/31 11:09:59 {"callers":["d:/codes/codes_Go/threads-service/pkg/logger/logger.go:105 threads-service/pkg/logger.(*Logger).WithCallesFrames","d:/codes/codes_Go/threads-service/main.go:101 main.steupLogger","d:/codes/codes_Go/threads-service/main.go:27 main.init.0","C:/Program Files/Go/src/runtime/proc.go:6506 runtime.doInit","C:/Program Files/Go/src/runtime/proc.go:233 runtime.main"],"level":"info","time":1680232199506210000}
2023/03/31 11:14:49 {"callers":["d:/codes/codes_Go/threads-service/pkg/logger/logger.go:105 threads-service/pkg/logger.(*Logger).WithCallesFrames","d:/codes/codes_Go/threads-service/main.go:101 main.steupLogger","d:/codes/codes_Go/threads-service/main.go:27 main.init.0","C:/Program Files/Go/src/runtime/proc.go:6506 runtime.doInit","C:/Program Files/Go/src/runtime/proc.go:233 runtime.main"],"level":"info","time":1680232489004602700}
2023/03/31 11:16:58 {"callers":["d:/codes/codes_Go/threads-service/pkg/logger/logger.go:105 threads-service/pkg/logger.(*Logger).WithCallesFrames","d:/codes/codes_Go/threads-service/main.go:101 main.steupLogger","d:/codes/codes_Go/threads-service/main.go:27 main.init.0","C:/Program Files/Go/src/runtime/proc.go:6506 runtime.doInit","C:/Program Files/Go/src/runtime/proc.go:233 runtime.main"],"level":"info","time":1680232618650880700}
2023/03/31 11:20:10 {"callers":["d:/codes/codes_Go/threads-service/pkg/logger/logger.go:105 threads-service/pkg/logger.(*Logger).WithCallesFrames","d:/codes/codes_Go/threads-service/main.go:101 main.steupLogger","d:/codes/codes_Go/threads-service/main.go:27 main.init.0","C:/Program Files/Go/src/runtime/proc.go:6506 runtime.doInit","C:/Program Files/Go/src/runtime/proc.go:233 runtime.main"],"level":"info","time":1680232810809443900}
2023/03/31 11:21:50 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","time":1680232910413749000}
2023/03/31 11:26:28 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680233188949980900}
2023/03/31 13:16:08 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680239768560573900}
2023/04/03 10:21:54 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680488514792877800}
2023/04/03 10:44:08 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680489848214449700}
2023/04/03 10:48:11 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680490091528013600}
2023/04/03 10:52:25 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680490345915238200}
2023/04/03 10:57:54 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680490674594402100}
2023/04/03 11:05:57 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680491157644515700}
2023/04/03 11:07:13 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680491233764075100}
2023/04/03 11:21:59 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680492119524324500}
2023/04/03 11:22:22 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680492142665456500}
2023/04/03 11:29:38 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680492578214132800}
2023/04/03 12:16:19 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680495379426760500}
2023/04/03 12:19:58 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680495598076329200}
2023/04/03 12:44:19 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680497059574329900}
2023/04/03 17:40:32 {"callers":["d:/codes/codes_Go/threads-service/main.go:27 main.init.0"],"level":"info","message":"博客启动成功:开始讨论战舰世界!","time":1680514832490948100}
